SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue,Helper,2010 index Value Alc,2010 index Value All,2010 Price, 2010 *6M ,2010 UOM, 2010 USD conversion , Total USD All(/6M) ,Price per that year,Total Household Exp,Total Alc Market,Total Market Growth
DNK,EUR,2012,1.7,2012,DNK2012,107.84,104.88,834283,"5,005,698,000,000.00",DKK,5.62,4692070.16,4921043.19,2.95263E+13,5.01946E+11,99.26
DNK,EUR,2013,1.8,2013,DNK2013,110.01,105.74,834283,"5,005,698,000,000.00",DKK,5.62,4692070.16,4961394.99,2.97684E+13,5.35831E+11,100.12
DNK,EUR,2014,1.7,2014,DNK2014,109.23,106.34,834283,"5,005,698,000,000.00",DKK,5.62,4692070.16,4989547.41,2.99373E+13,5.08934E+11,100.72
DNK,EUR,2015,1.7,2015,DNK2015,110.27,106.75,834283,"5,005,698,000,000.00",DKK,5.62,4692070.16,5008784.9,3.00527E+13,5.10896E+11,101.13
NOR,EUR,1990,4.6,1990,NOR1990,63.11,66.36,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4164731.6,2.49884E+13,1.14947E+12,60.32
NOR,EUR,1991,4.6,1991,NOR1991,67.37,68.79,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4317237.6,2.59034E+13,1.19156E+12,62.75
CAN,AMR,2002,2.1,2002,CAN2002,89.82,90.3,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,89.269837
USA,AMR,2002,0.9,2002,USA2002,86,83.93,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,82.93
NOR,EUR,1992,4.4,1992,NOR1992,71.76,70.37,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4416397.87,2.64984E+13,1.16593E+12,64.33
NOR,EUR,1993,4.2,1993,NOR1993,73.26,72.14,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4527482.48,2.71649E+13,1.14093E+12,66.1
JPN,WPR,2002,1.1,2002,JPN2002,#N/A,105.67,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,17.890125
NOR,EUR,1994,4.2,1994,NOR1994,72.37,72.83,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4570786.66,2.74247E+13,1.15184E+12,66.79
NOR,EUR,1995,4.1,1995,NOR1995,74.31,74.5,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4675595.3,2.80536E+13,1.1502E+12,68.46
NOR,EUR,1996,4,1996,NOR1996,75.19,75.35,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4728941.02,2.83736E+13,1.13495E+12,69.31
NOR,EUR,1997,4.1,1997,NOR1997,78.38,77.12,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4840025.63,2.90402E+13,1.19065E+12,71.08
NOR,EUR,1998,4.1,1998,NOR1998,83.12,79.03,1038351,"6,230,106,000,000.00",NOK,6.04,6275966.85,4959896.6,2.97594E+13,1.22013E+12,72.99
