SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue,Helper,2010 index Value Alc,2010 index Value All,2010 Price, 2010 *6M ,2010 UOM, 2010 USD conversion , Total USD All(/6M) ,Price per that year,Total Household Exp,Total Alc Market,Total Market Growth
THA,SEAR,2007,1.6,2007,THA2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
HUN,EUR,2010,1.1,2010,HUN2010,100,100,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,2887382530,1.73243E+16,1.90567E+14,-107.94
HUN,EUR,2011,3.1,2011,HUN2011,102.88,103.67,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,2993349469,1.79601E+16,5.56763E+14,-104.27
HUN,EUR,2012,3.1,2012,HUN2012,109.4,110.06,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,3177853212,1.90671E+16,5.91081E+14,-97.88
HUN,EUR,2013,3,2013,HUN2013,115.33,111.98,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,3233290957,1.93997E+16,5.81992E+14,-95.96
HUN,EUR,2014,3.2,2014,HUN2014,112.8,112.91,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,3260143615,1.95609E+16,6.25948E+14,-95.03
HUN,EUR,2015,2.9,2015,HUN2015,116.19,112.5,13885374,"83,312,244,000,000.00",HUF,207.94,2887382530,3248305346,1.94898E+16,5.65205E+14,-95.44
KGZ,EUR,1990,3.9,1990,KGZ1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UZB,EUR,1990,2.9,1990,UZB1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,1990,3.7,1990,UKR1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,1990,1.3,1990,AZE1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,1990,7.4,1990,BLR1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
GEO,EUR,1990,1.3,1990,GEO1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
JPN,WPR,2007,1.1,2007,JPN2007,#N/A,103.07,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,15.290125
CAN,AMR,2007,2,2007,CAN2007,97.78,97.08,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,96.049837
TJK,EUR,1990,1.8,1990,TJK1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1990,4,1990,ARM1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,1990,5,1990,RUS1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BTN,SEAR,2007,3.8,2007,BTN2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
TKM,EUR,1990,3.4,1990,TKM1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
USA,AMR,2007,0.9,2007,USA2007,93.83,95.31,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,94.31
NZL,WPR,2007,2,2007,NZL2007,#N/A,92.62,115501,"693,006,000,000.00",NZD,1.387834,, $-   , $-   , $-   ,91.232166
MDA,EUR,1990,2.6,1990,MDA1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KAZ,EUR,1990,5,1990,KAZ1990,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
WSM,WPR,2008,0.7,2008,WSM2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
CYP,EUR,1991,0.6,1991,CYP1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,1991,5.9,1991,BLR1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,1991,1.7,1991,TJK1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
GEO,EUR,1991,1.1,1991,GEO1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KGZ,EUR,1991,4.2,1991,KGZ1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MDA,EUR,1991,2.5,1991,MDA1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UZB,EUR,1991,3.2,1991,UZB1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
USA,AMR,2008,0.9,2008,USA2008,96.79,98.23,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,97.23
AZE,EUR,1991,1.3,1991,AZE1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MEX,AMR,2008,1.9,2008,MEX2008,85.66,91.93,8734843.839,"52,409,063,034,000.00",MXN,12.636008,, $-   , $-   , $-   ,79.293992
KAZ,EUR,1991,4.3,1991,KAZ1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,1991,11,1991,ROU1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,1991,2.8,1991,UKR1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TKM,EUR,1991,2.6,1991,TKM1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,1991,4.2,1991,RUS1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1991,2.8,1991,ARM1991,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TKM,EUR,1992,3.2,1992,TKM1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KAZ,EUR,1992,5.4,1992,KAZ1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,1992,2,1992,TJK1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2008,2,2008,CAN2008,98.69,98.5,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,97.469837
UZB,EUR,1992,3.2,1992,UZB1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
USA,AMR,2009,0.9,2009,USA2009,99.61,98.23,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,97.23
CAN,AMR,2009,2.1,2009,CAN2009,100.25,98.65,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,97.619837
AZE,EUR,1992,1,1992,AZE1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,1992,4,1992,RUS1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KGZ,EUR,1992,3.4,1992,KGZ1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1992,2.8,1992,ARM1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MDA,EUR,1992,2.2,1992,MDA1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,1992,5.4,1992,BLR1992,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UZB,EUR,1993,2.9,1993,UZB1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KGZ,EUR,1993,2.8,1993,KGZ1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,1993,1.2,1993,AZE1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TKM,EUR,1993,3.9,1993,TKM1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,1993,3.1,1993,RUS1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MDA,EUR,1993,2.2,1993,MDA1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1993,3.4,1993,ARM1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,1993,2.2,1993,TJK1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,1993,5.6,1993,BLR1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ZAF,AFR,2009,0.4,2009,ZAF2009,#N/A,95.63,1621835.538,"9,731,013,228,000.00",ZAR,#N/A,, $-   , $-   , $-   ,#N/A
KAZ,EUR,1993,5,1993,KAZ1993,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,1994,1.1,1994,AZE1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1994,2.2,1994,ARM1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TKM,EUR,1994,4,1994,TKM1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,1994,2.9,1994,RUS1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UZB,EUR,1994,2.5,1994,UZB1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MEX,AMR,2010,1.9,2010,MEX2010,100,100,8734843.839,"52,409,063,034,000.00",MXN,12.636008,, $-   , $-   , $-   ,87.363992
KAZ,EUR,1994,3.4,1994,KAZ1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,1994,4.7,1994,BLR1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AUS,WPR,2010,2.6,2010,AUS2010,100,100,775116,"4,650,696,000,000.00",AUD,1.090159,, $-   , $-   , $-   ,98.909841
KGZ,EUR,1994,2.7,1994,KGZ1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MDA,EUR,1994,2,1994,MDA1994,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1995,1.7,1995,ARM1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KAZ,EUR,1995,2.5,1995,KAZ1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MDA,EUR,1995,1.9,1995,MDA1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,1995,3.3,1995,BLR1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
KGZ,EUR,1995,1.9,1995,KGZ1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,1995,0.9,1995,AZE1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,1995,2.5,1995,RUS1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ETH,AFR,2010,3.6,2010,ETH2010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2010,2,2010,CAN2010,100,100,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,98.969837
UZB,EUR,1995,1.9,1995,UZB1995,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,1996,1.3,1996,ARM1996,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,1997,2.9,1997,ROU1997,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,1998,3.5,1998,ROU1998,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,1999,4.2,1999,ROU1999,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
NZL,WPR,2010,2.1,2010,NZL2010,#N/A,100,115501,"693,006,000,000.00",NZD,1.387834,, $-   , $-   , $-   ,98.612166
ARM,EUR,1999,1.9,1999,ARM1999,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,2000,3.8,2000,ROU2000,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2000,3.5,2000,BLR2000,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2011,2,2011,CAN2011,99.98,102.13,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,101.099837
RUS,EUR,2000,2.5,2000,RUS2000,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2001,1.6,2001,ARM2001,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2002,1.6,2002,ARM2002,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2003,1.6,2003,ARM2003,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2004,1.6,2004,ARM2004,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
HRV,EUR,2005,1.6,2005,HRV2005,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2005,1.6,2005,ARM2005,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2005,1.9,2005,RUS2005,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,2005,0.6,2005,AZE2005,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2005,2.5,2005,BLR2005,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2006,0.2,2006,TJK2006,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2006,1.7,2006,ARM2006,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2006,1.3,2006,MKD2006,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2006,1.9,2006,RUS2006,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
HRV,EUR,2006,1.6,2006,HRV2006,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2007,1.7,2007,RUS2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
SGP,WPR,2012,0.3,2012,SGP2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2012,1.1,2012,CAN2012,101.1,103.45,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,102.419837
ALB,EUR,2007,2.1,2007,ALB2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2007,1.4,2007,MKD2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2007,1.7,2007,ARM2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,2007,1.7,2007,UKR2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
HRV,EUR,2007,1.6,2007,HRV2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2007,2.3,2007,BLR2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2007,0.2,2007,TJK2007,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,2008,0.6,2008,AZE2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
JPN,WPR,2012,1.6,2012,JPN2012,#N/A,98.85,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,11.070125
THA,SEAR,2012,1.2,2012,THA2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2008,1.6,2008,RUS2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,2008,1.5,2008,UKR2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
PHL,WPR,2012,0.6,2012,PHL2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
BTN,SEAR,2012,4.3,2012,BTN2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
ROU,EUR,2008,4,2008,ROU2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2008,1.5,2008,ARM2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
LBN,EMR,2012,0.2,2012,LBN2012,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2008,1.7,2008,MKD2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2008,0.1,2008,TJK2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2008,2.3,2008,BLR2008,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,2009,4,2009,ROU2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MEX,AMR,2012,1.9,2012,MEX2012,108.86,110.81,8734843.839,"52,409,063,034,000.00",MXN,12.636008,, $-   , $-   , $-   ,98.173992
BLR,EUR,2009,2.2,2009,BLR2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2009,1.8,2009,MKD2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,2009,0.6,2009,AZE2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,2009,1.6,2009,UKR2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2009,1.7,2009,RUS2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
HRV,EUR,2009,1.5,2009,HRV2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2009,0.1,2009,TJK2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2009,1.6,2009,ARM2009,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,2010,1.6,2010,UKR2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2010,1.8,2010,ARM2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2010,2.2,2010,BLR2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,2010,0.5,2010,AZE2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
THA,SEAR,2013,1.1,2013,THA2013,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
HRV,EUR,2010,1.5,2010,HRV2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2010,1.8,2010,MKD2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2010,0.1,2010,TJK2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2010,1.7,2010,RUS2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
NZL,WPR,2013,1.9,2013,NZL2013,#N/A,103.83,115501,"693,006,000,000.00",NZD,1.387834,, $-   , $-   , $-   ,102.442166
ROU,EUR,2010,4,2010,ROU2010,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
UKR,EUR,2011,1.4,2011,UKR2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2013,1.2,2013,CAN2013,102.7,104.84,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,103.809837
ROU,EUR,2011,4,2011,ROU2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
HRV,EUR,2011,1.5,2011,HRV2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
JPN,WPR,2013,1,2013,JPN2013,#N/A,98.71,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,10.930125
TJK,EUR,2011,0.1,2011,TJK2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,2011,0.5,2011,AZE2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2011,1.7,2011,RUS2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2011,2.2,2011,BLR2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2011,1.6,2011,MKD2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2011,1.8,2011,ARM2011,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ARM,EUR,2012,1.5,2012,ARM2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
BLR,EUR,2012,2.6,2012,BLR2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
AZE,EUR,2012,0.5,2012,AZE2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
THA,SEAR,2014,1,2014,THA2014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
MKD,EUR,2012,1.8,2012,MKD2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
ROU,EUR,2012,4,2012,ROU2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2012,1.7,2012,RUS2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2012,0.1,2012,TJK2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
PLW,WPR,2014,1.1,2014,PLW2014,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
UKR,EUR,2012,1.5,2012,UKR2012,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
RUS,EUR,2013,1.7,2013,RUS2013,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
TJK,EUR,2013,0.1,2013,TJK2013,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,#N/A,#N/A,#N/A,#N/A,#N/A
CAN,AMR,2014,1.1,2014,CAN2014,103.77,106.85,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,105.819837
