SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PERCENT,BEER_PERCENT,WINE_PERCENT,OTHER_ALCOHOL_PERCENT,SPIRITS_PER_CAPITA,BEER_PER_CAPITA,WINE_PER_CAPITA,OTHER_ALCOHOL_PER_CAPITA,ALL_ALCOHOLS_PER_CAPITA,PercentHouseholdExp,SPIRITS_PRICE,BEER_PRICE,WINE_PRICE,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA,Most_Popular_Type_of_Spirit
ARE,EMR,2002,2002,0,0,0,0,2.1500000000000004,1,0.15000000000000002,0,3.31,0,0,0,0,0,0,0,0
ARE,EMR,2003,2003,0,0,0,0,2.2,0.95,0.14,0,3.3,0,0,0,0,0,0,0,0
ARE,EMR,2004,2004,0,0,0,0,2.1799999999999997,0.8899999999999999,0.27,0,3.35,0,0,0,0,0,0,0,0
ARE,EMR,2005,2005,0,0,0,0,2.35,0.78,0.27,0,3.41,0,0,0,0,0,0,0,0
ARE,EMR,2006,2006,0,0,0,0,2.45,0.64,0.25,0,3.3600000000000003,0,0,0,0,0,0,0,0
ARE,EMR,2007,2007,0,0,0,0,2.51,0.56,0.22999999999999998,0,3.31,0,0,0,0,0,0,0,0
ARE,EMR,2008,2008,0,0,0,0,2.92,0.49,0.25,0,3.68,0,0,0,0,0,0,0,0
ARE,EMR,2009,2009,0,0,0,0,2.8099999999999996,0.41000000000000003,0.22,0,3.45,0,0,0,0,0,0,0,0
ARE,EMR,2010,2010,0,0,0,0,2.78,0.38,0.22,0,3.3899999999999997,0,0,0,0,0,0,0,0
ARE,EMR,2011,2011,0,0,0,0,2.8899999999999997,0.37,0.22,0,3.49,0,0,0,0,0,0,0,0
ARE,EMR,2012,2012,0,0,0,0,2.92,0.38,0.22999999999999998,0,3.54,0,0,0,0,0,0,0,0
ARE,EMR,2013,2013,0,0,0,0,3.04,0.38,0.24,0,3.68,0,0,0,0,0,0,0,0
ARE,EMR,2014,2014,0,0,0,0,3.17,0.4,0.27,0,3.8499999999999996,0,0,0,0,0,0,0,0
