Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
923066,SA_0000001822,COUNTRY,BRN,WPR,YEAR,Western Pacific,SEX,2018,SEX_FMLE,,,,,,,0.2 [0.4-0.8],0.2,0.4,0.8,,2020-05-16T18:14:49+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932824,SA_0000001822,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_MLE,,,,,,,1.9 [1.1-2.3],1.9,1.1,2.3,,2020-05-16T18:14:57+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932715,SA_0000001822,COUNTRY,MDG,AFR,YEAR,Africa,SEX,2018,SEX_FMLE,,,,,,,0.8 [0.5-1.1],0.8,0.5,1.1,,2020-05-16T18:14:55+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932894,SA_0000001822,COUNTRY,TGO,AFR,YEAR,Africa,SEX,2018,SEX_BTSX,,,,,,,2.5 [1.7-3.3],2.5,1.7,3.3,,2020-05-16T18:14:58+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923456,SA_0000001822,COUNTRY,GRC,EUR,YEAR,Europe,SEX,2018,SEX_MLE,,,,,,,16.2 [14.3-20.1],16.2,14.3,20.1,,2020-05-16T18:14:52+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932855,SA_0000001822,COUNTRY,SMR,EUR,YEAR,Europe,SEX,2018,SEX_BTSX,,,,,,,.,,,,,2020-05-16T18:14:58+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932717,SA_0000001822,COUNTRY,MDV,SEAR,YEAR,South-East Asia,SEX,2018,SEX_BTSX,,,,,,,2.2 [2.2-4.2],2.2,2.2,4.2,,2020-05-16T18:14:55+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923472,SA_0000001822,COUNTRY,HTI,AMR,YEAR,Americas,SEX,2018,SEX_BTSX,,,,,,,2.7 [2.2-3.4],2.7,2.2,3.4,,2020-05-16T18:14:53+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923439,SA_0000001822,COUNTRY,GHA,AFR,YEAR,Africa,SEX,2018,SEX_BTSX,,,,,,,2.8 [2-3.7],2.8,2.0,3.7,,2020-05-16T18:14:52+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923107,SA_0000001822,COUNTRY,COM,AFR,YEAR,Africa,SEX,2018,SEX_BTSX,,,,,,,0.7 [0.3-1.3],0.7,0.3,1.3,,2020-05-16T18:14:50+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923455,SA_0000001822,COUNTRY,GRC,EUR,YEAR,Europe,SEX,2018,SEX_FMLE,,,,,,,4.5 [3.9-5.5],4.5,3.9,5.5,,2020-05-16T18:14:52+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932745,SA_0000001822,COUNTRY,MOZ,AFR,YEAR,Africa,SEX,2018,SEX_FMLE,,,,,,,0.9 [0.5-1.1],0.9,0.5,1.1,,2020-05-16T18:14:55+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923411,SA_0000001822,COUNTRY,ESP,EUR,YEAR,Europe,SEX,2018,SEX_MLE,,,,,,,20.1 [18.1-23.8],20.1,18.1,23.8,,2020-05-16T18:14:51+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
932805,SA_0000001822,COUNTRY,PLW,WPR,YEAR,Western Pacific,SEX,2018,SEX_FMLE,,,,,,,.,,,,,2020-05-16T18:14:57+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923506,SA_0000001822,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,SEX,2018,SEX_FMLE,,,,,,,0.2 [0.1-0.4],0.2,0.1,0.4,,2020-05-16T18:14:53+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923500,SA_0000001822,COUNTRY,ITA,EUR,YEAR,Europe,SEX,2018,SEX_FMLE,,,,,,,3.5 [3-4.1],3.5,3.0,4.1,,2020-05-16T18:14:53+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
923074,SA_0000001822,COUNTRY,CAF,AFR,YEAR,Africa,SEX,2018,SEX_BTSX,,,,,,,2.4 [1.5-3.4],2.4,1.5,3.4,,2020-05-16T18:14:49+02:00,2016-2018,2016-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
