Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6801917,SA_0000001732,COUNTRY,EST,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801938,SA_0000001732,COUNTRY,MNE,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801943,SA_0000001732,COUNTRY,ROU,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801912,SA_0000001732,COUNTRY,CYP,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801939,SA_0000001732,COUNTRY,NLD,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801952,SA_0000001732,COUNTRY,TUR,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801951,SA_0000001732,COUNTRY,TKM,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801914,SA_0000001732,COUNTRY,DEU,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801913,SA_0000001732,COUNTRY,CZE,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801911,SA_0000001732,COUNTRY,CHE,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801906,SA_0000001732,COUNTRY,AZE,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801941,SA_0000001732,COUNTRY,POL,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801929,SA_0000001732,COUNTRY,KAZ,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801946,SA_0000001732,COUNTRY,SRB,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801934,SA_0000001732,COUNTRY,MCO,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801933,SA_0000001732,COUNTRY,LVA,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801924,SA_0000001732,COUNTRY,HUN,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801925,SA_0000001732,COUNTRY,IRL,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801902,SA_0000001732,COUNTRY,ALB,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801916,SA_0000001732,COUNTRY,ESP,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801953,SA_0000001732,COUNTRY,UKR,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801927,SA_0000001732,COUNTRY,ISR,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801910,SA_0000001732,COUNTRY,BLR,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801950,SA_0000001732,COUNTRY,TJK,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801909,SA_0000001732,COUNTRY,BIH,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801908,SA_0000001732,COUNTRY,BGR,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801948,SA_0000001732,COUNTRY,SVN,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801928,SA_0000001732,COUNTRY,ITA,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801930,SA_0000001732,COUNTRY,KGZ,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801923,SA_0000001732,COUNTRY,HRV,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801936,SA_0000001732,COUNTRY,MKD,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801922,SA_0000001732,COUNTRY,GRC,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801904,SA_0000001732,COUNTRY,ARM,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801944,SA_0000001732,COUNTRY,RUS,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801920,SA_0000001732,COUNTRY,GBR,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801918,SA_0000001732,COUNTRY,FIN,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801907,SA_0000001732,COUNTRY,BEL,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801931,SA_0000001732,COUNTRY,LTU,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801937,SA_0000001732,COUNTRY,MLT,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801921,SA_0000001732,COUNTRY,GEO,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801905,SA_0000001732,COUNTRY,AUT,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801915,SA_0000001732,COUNTRY,DNK,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801926,SA_0000001732,COUNTRY,ISL,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801954,SA_0000001732,COUNTRY,UZB,YEAR,EUR,Europe,,,2012,,,,,,,,,,,missing data,2014-01-14T14:45:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801949,SA_0000001732,COUNTRY,SWE,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:32+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801919,SA_0000001732,COUNTRY,FRA,YEAR,EUR,Europe,,,2012,,,,,,,No,,,,,2014-01-03T16:09:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6801932,SA_0000001732,COUNTRY,LUX,YEAR,EUR,Europe,,,2012,,,,,,,Yes,,,,,2014-01-03T16:09:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
