Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4548506,SA_0000001476,COUNTRY,AZE,EUR,YEAR,Europe,,,2013,,,,,DATASOURCE,DATASOURCE_SA_0000001476_AZE,0.5,0.5,,,,2018-10-25T13:07:10+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4529111,SA_0000001476,COUNTRY,NOR,EUR,YEAR,Europe,,,1996,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NOR,4,4.0,,,,2018-10-25T13:07:00+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
4548494,SA_0000001476,COUNTRY,HRV,EUR,YEAR,Europe,,,2011,,,,,DATASOURCE,DATASOURCE_SA_0000001476_HRV,1.5,1.5,,,,2018-10-25T13:07:07+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4539128,SA_0000001476,COUNTRY,DNK,EUR,YEAR,Europe,,,2004,,,,,DATASOURCE,DATASOURCE_SA_0000001476_DNK,1.9,1.9,,,,2018-10-25T13:07:07+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4529164,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2003,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,3,3.0,,,,2018-10-25T13:07:02+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4529300,SA_0000001476,COUNTRY,CZE,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_CZE,1.1,1.1,,,,2018-10-25T13:07:08+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539118,SA_0000001476,COUNTRY,ITA,EUR,YEAR,Europe,,,2001,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ITA,0.8,0.8,,,,2018-10-25T13:07:09+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4539559,SA_0000001476,COUNTRY,FIN,EUR,YEAR,Europe,,,1999,,,,,DATASOURCE,DATASOURCE_SA_0000001476_FIN,5.7,5.7,,,,2018-10-25T13:07:07+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
4539539,SA_0000001476,COUNTRY,LVA,EUR,YEAR,Europe,,,1994,,,,,DATASOURCE,DATASOURCE_SA_0000001476_LVA,2,2.0,,,,2018-10-25T13:07:05+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4519717,SA_0000001476,COUNTRY,POL,EUR,YEAR,Europe,,,1991,,,,,DATASOURCE,DATASOURCE_SA_0000001476_POL,8.5,8.5,,,,2018-10-25T13:07:07+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
