Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4909577,SA_0000001523,COUNTRY,ZMB,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,5.8,,,,,2014-01-03T08:39:18+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898850,SA_0000001523,COUNTRY,MHL,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:37+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898874,SA_0000001523,COUNTRY,MNG,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,40.65,,,,,2014-01-03T08:38:51+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909509,SA_0000001523,COUNTRY,TON,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,11.21,,,,,2014-01-03T08:39:08+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880311,SA_0000001523,COUNTRY,BDI,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,0.62,,,,,2014-01-03T08:38:26+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889431,SA_0000001523,COUNTRY,CUB,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:47+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889452,SA_0000001523,COUNTRY,DMA,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,5.74,,,,,2014-01-03T08:38:33+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889362,SA_0000001523,COUNTRY,BRN,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:45+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880346,SA_0000001523,COUNTRY,BIH,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,5.15,,,,,2014-01-03T08:38:25+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889409,SA_0000001523,COUNTRY,COG,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,1.23,,,,,2014-01-03T08:38:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898771,SA_0000001523,COUNTRY,KHM,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:46+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889364,SA_0000001523,COUNTRY,BRN,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:46+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909503,SA_0000001523,COUNTRY,TLS,YEAR,SEAR,South-East Asia,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,1.88,,,,,2014-01-03T08:39:07+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889370,SA_0000001523,COUNTRY,BWA,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,1.26,,,,,2014-01-03T08:38:25+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889422,SA_0000001523,COUNTRY,CPV,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,1.47,,,,,2014-01-03T08:38:27+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889469,SA_0000001523,COUNTRY,ECU,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,,,,,missing data,2014-01-10T13:28:48+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880319,SA_0000001523,COUNTRY,BEN,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,0.8,,,,,2014-01-03T08:39:13+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889484,SA_0000001523,COUNTRY,EST,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,12.02,,,,,2014-01-03T08:38:35+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898766,SA_0000001523,COUNTRY,KGZ,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:36+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890111,SA_0000001523,COUNTRY,ITA,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,3.15,,,,,2014-01-03T08:38:44+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909560,SA_0000001523,COUNTRY,VUT,YEAR,WPR,Western Pacific,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:29:00+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909536,SA_0000001523,COUNTRY,URY,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,8.25,,,,,2014-01-03T08:39:10+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898855,SA_0000001523,COUNTRY,MKD,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,0.69,,,,,2014-01-03T08:39:07+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889433,SA_0000001523,COUNTRY,CUB,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,,,,,missing data,2014-01-10T13:28:31+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4899005,SA_0000001523,COUNTRY,SEN,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,1.45,,,,,2014-01-03T08:39:01+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880340,SA_0000001523,COUNTRY,BHS,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,5.51,,,,,2014-01-03T08:38:22+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880335,SA_0000001523,COUNTRY,BHR,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:29+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898800,SA_0000001523,COUNTRY,LBY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,,,,,missing data,2014-01-10T13:28:36+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898823,SA_0000001523,COUNTRY,LVA,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,10.56,,,,,2014-01-03T08:38:47+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898789,SA_0000001523,COUNTRY,LBN,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:36+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909481,SA_0000001523,COUNTRY,SYR,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,1.87,,,,,2014-01-03T08:39:05+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890081,SA_0000001523,COUNTRY,IDN,YEAR,SEAR,South-East Asia,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,111.25,,,,,2014-01-03T08:38:42+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909459,SA_0000001523,COUNTRY,SVK,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:44+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880322,SA_0000001523,COUNTRY,BEN,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,1.73,,,,,2014-01-03T08:38:24+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889442,SA_0000001523,COUNTRY,DEU,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:33+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889481,SA_0000001523,COUNTRY,ESP,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,0.57,,,,,2014-01-03T08:39:12+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890088,SA_0000001523,COUNTRY,IRL,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:51+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909477,SA_0000001523,COUNTRY,SYC,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,7.87,,,,,2014-01-03T08:39:02+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4880354,SA_0000001523,COUNTRY,BLZ,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,3.16,,,,,2014-01-03T08:38:24+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898777,SA_0000001523,COUNTRY,KNA,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,2.36,,,,,2014-01-03T08:39:00+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889381,SA_0000001523,COUNTRY,CAN,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,16.63,,,,,2014-01-03T08:38:27+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889372,SA_0000001523,COUNTRY,BWA,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:30+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898950,SA_0000001523,COUNTRY,PER,YEAR,AMR,Americas,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_IMPORTED_SPIRITS,,,,,,,16.41,,,,,2014-01-03T08:38:57+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898988,SA_0000001523,COUNTRY,ROU,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,2.97,,,,,2014-01-03T08:38:59+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4909572,SA_0000001523,COUNTRY,ZAF,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,13.34,,,,,2014-01-03T08:39:04+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898923,SA_0000001523,COUNTRY,NOR,YEAR,EUR,Europe,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,42.27,,,,,2014-01-03T08:38:55+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4890096,SA_0000001523,COUNTRY,IRQ,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:34+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898944,SA_0000001523,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_TABLE_WINE,,,,,,,,,,,missing data,2014-01-10T13:28:56+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4889470,SA_0000001523,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,BEVERAGETYPE,2012,BEVERAGETYPE_SA_500_POPULAR_BEER,,,,,,,,,,,missing data,2014-01-10T13:28:49+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4898883,SA_0000001523,COUNTRY,MRT,YEAR,AFR,Africa,BEVERAGETYPE,2012,BEVERAGETYPE_SA_750_POPULAR_LOCAL_SPIRITS,,,,,,,,,,,missing data,2014-01-10T13:28:54+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
