Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3148811,SA_0000001398,COUNTRY,FJI,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,1.2,,,,,2018-09-21T08:24:16+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187397,SA_0000001398,COUNTRY,NRU,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,22,,,,,2018-09-21T08:24:10+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148859,SA_0000001398,COUNTRY,GRD,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,7,,,,,2018-09-21T08:24:12+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187290,SA_0000001398,COUNTRY,LVA,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,6.1,,,,,2018-09-21T08:24:07+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148846,SA_0000001398,COUNTRY,GNB,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,13.7,,,,,2018-09-21T08:24:12+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228313,SA_0000001398,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,0.5,,,,,2018-09-21T08:24:11+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228351,SA_0000001398,COUNTRY,SLE,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,1.1,,,,,2018-09-21T08:24:11+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228441,SA_0000001398,COUNTRY,TUR,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,0,,,,,2018-09-21T08:24:10+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228491,SA_0000001398,COUNTRY,WSM,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,5.9,,,,,2018-09-21T08:24:14+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228507,SA_0000001398,COUNTRY,ZWE,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,1.3,,,,,2018-09-21T08:24:15+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148808,SA_0000001398,COUNTRY,FJI,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,69.8,,,,,2018-09-21T08:24:03+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228416,SA_0000001398,COUNTRY,TJK,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,37.9,,,,,2018-09-21T08:24:12+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148838,SA_0000001398,COUNTRY,GIN,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,0,,,,,2018-09-21T08:24:02+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148836,SA_0000001398,COUNTRY,GIN,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,91.1,,,,,2018-09-21T08:24:04+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228316,SA_0000001398,COUNTRY,ROU,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,55.6,,,,,2018-09-21T08:24:07+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187280,SA_0000001398,COUNTRY,LSO,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,3.2,,,,,2018-09-21T08:24:15+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
