Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5256550,WHOSIS_000002,COUNTRY,BHS,YEAR,AMR,Americas,SEX,SEX_FMLE,2000,,,,,,,64.8,64.77525,,,,2020-12-04T17:00:06+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5521473,WHOSIS_000002,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,SEX_MLE,2019,,,,,,,65.9,65.92535,,,,2020-12-04T17:03:29+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5521401,WHOSIS_000002,COUNTRY,SUR,YEAR,AMR,Americas,SEX,SEX_MLE,2019,,,,,,,60.7,60.71859,,,,2020-12-04T17:03:17+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5389458,WHOSIS_000002,COUNTRY,ECU,YEAR,AMR,Americas,SEX,SEX_FMLE,2015,,,,,,,68.5,68.53148,,,,2020-12-04T17:00:50+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5356190,WHOSIS_000002,COUNTRY,NGA,YEAR,AFR,Africa,SEX,SEX_BTSX,2010,,,,,,,51.5,51.50493,,,,2020-12-04T17:02:35+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5356155,WHOSIS_000002,COUNTRY,LCA,YEAR,AMR,Americas,SEX,SEX_BTSX,2010,,,,,,,65.5,65.45253,,,,2020-12-04T17:02:00+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5521382,WHOSIS_000002,COUNTRY,RWA,YEAR,AFR,Africa,SEX,SEX_FMLE,2019,,,,,,,61.4,61.40834,,,,2020-12-04T17:03:01+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5356299,WHOSIS_000002,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2010,,,,,,,67.1,67.14967,,,,2020-12-04T17:03:36+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5321473,WHOSIS_000002,COUNTRY,BRN,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2010,,,,,,,66.5,66.45836,,,,2020-12-04T17:00:17+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5422689,WHOSIS_000002,COUNTRY,ISR,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,71.8,71.84209,,,,2020-12-04T17:01:37+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5256625,WHOSIS_000002,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2000,,,,,,,52.7,52.72825,,,,2020-12-04T17:00:45+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5321384,WHOSIS_000002,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2000,,,,,,,58.6,58.56525,,,,2020-12-04T17:03:50+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5422677,WHOSIS_000002,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2015,,,,,,,68.0,68.04247,,,,2020-12-04T17:01:40+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5356243,WHOSIS_000002,COUNTRY,MYS,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2010,,,,,,,65.4,65.37687,,,,2020-12-04T17:02:30+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5521436,WHOSIS_000002,COUNTRY,SLB,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2019,,,,,,,57.8,57.75931,,,,2020-12-04T17:03:09+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5389248,WHOSIS_000002,COUNTRY,TLS,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2010,,,,,,,60.2,60.18628,,,,2020-12-04T17:03:33+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5521772,WHOSIS_000002,COUNTRY,ZMB,YEAR,AFR,Africa,SEX,SEX_FMLE,2019,,,,,,,56.3,56.31194,,,,2020-12-04T17:03:56+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5422666,WHOSIS_000002,COUNTRY,IDN,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2015,,,,,,,63.2,63.23559,,,,2020-12-04T17:01:28+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5489167,WHOSIS_000002,COUNTRY,MDA,YEAR,EUR,Europe,SEX,SEX_MLE,2019,,,,,,,61.9,61.87596,,,,2020-12-04T17:02:10+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5289490,WHOSIS_000002,COUNTRY,VNM,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2000,,,,,,,63.3,63.29601,,,,2020-12-04T17:03:49+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5322899,WHOSIS_000002,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2010,,,,,,,57.6,57.64577,,,,2020-12-04T17:01:29+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5389392,WHOSIS_000002,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_MLE,2015,,,,,,,69.1,69.10521,,,,2020-12-04T16:59:57+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5356313,WHOSIS_000002,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2010,,,,,,,47.7,47.66734,,,,2020-12-04T17:03:12+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5489121,WHOSIS_000002,COUNTRY,LTU,YEAR,EUR,Europe,SEX,SEX_FMLE,2019,,,,,,,69.7,69.67568,,,,2020-12-04T17:02:05+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5422776,WHOSIS_000002,COUNTRY,MLT,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,71.8,71.84461,,,,2020-12-04T17:02:18+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5289442,WHOSIS_000002,COUNTRY,UKR,YEAR,EUR,Europe,SEX,SEX_MLE,2000,,,,,,,55.5,55.5425,,,,2020-12-04T17:03:41+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5456518,WHOSIS_000002,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,SEX,SEX_BTSX,2015,,,,,,,66.4,66.38989,,,,2020-12-07T09:12:06+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5321483,WHOSIS_000002,COUNTRY,CHE,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,71.4,71.37307,,,,2020-12-04T17:00:23+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5289373,WHOSIS_000002,REGION,SEAR,YEAR,,,SEX,SEX_MLE,2000,,,,,,,54.4,54.3596,,,,2020-12-07T09:29:28+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5489108,WHOSIS_000002,COUNTRY,GIN,YEAR,AFR,Africa,SEX,SEX_FMLE,2019,,,,,,,53.7,53.70005,,,,2020-12-04T17:01:10+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
5389391,WHOSIS_000002,COUNTRY,BDI,YEAR,AFR,Africa,SEX,SEX_FMLE,2015,,,,,,,55.6,55.55806,,,,2020-12-04T16:59:56+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5289464,WHOSIS_000002,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2000,,,,,,,64.8,64.8018,,,,2020-12-04T17:03:37+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5289424,WHOSIS_000002,COUNTRY,SWE,YEAR,EUR,Europe,SEX,SEX_FMLE,2000,,,,,,,70.7,70.65055,,,,2020-12-04T17:03:20+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5389414,WHOSIS_000002,COUNTRY,BRB,YEAR,AMR,Americas,SEX,SEX_MLE,2015,,,,,,,66.8,66.84371,,,,2020-12-04T17:00:14+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5257439,WHOSIS_000002,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2000,,,,,,,63.1,63.11931,,,,2020-12-04T17:01:32+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5422653,WHOSIS_000002,COUNTRY,GEO,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,64.2,64.19711,,,,2020-12-04T17:01:08+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5257493,WHOSIS_000002,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,SEX,SEX_BTSX,2000,,,,,,,63.6,63.56261,,,,2020-12-04T17:01:41+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
5356325,WHOSIS_000002,COUNTRY,SOM,YEAR,EMR,Eastern Mediterranean,SEX,SEX_MLE,2010,,,,,,,44.4,44.44092,,,,2020-12-04T17:03:11+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
5289294,WHOSIS_000002,COUNTRY,LCA,YEAR,AMR,Americas,SEX,SEX_MLE,2000,,,,,,,62.4,62.36506,,,,2020-12-04T17:02:00+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
