SpatialDim,ParentLocationCode,TimeDimensionValue,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA
PAK,EMR,2018,0.1,0.6,0.3
PAN,AMR,2018,3.4,12.6,8.0
PER,AMR,2018,3.1,9.8,6.4
PHL,WPR,2018,2.8,11.0,6.9
PLW,WPR,2018,0.0,0.0,0.0
PNG,WPR,2018,0.5,2.3,1.4
POL,EUR,2018,5.6,18.4,11.7
PRK,SEAR,2018,1.5,6.3,3.8
PRT,EUR,2018,5.6,19.4,12.0
PRY,AMR,2018,3.2,11.9,7.6
QAT,EMR,2018,0.4,1.9,1.6
ROU,EUR,2018,5.5,18.6,11.7
RUS,EUR,2018,4.6,19.1,11.2
RWA,AFR,2018,3.5,14.8,9.0
SAU,EMR,2018,0.0,0.3,0.2
SDN,EMR,2018,0.1,0.9,0.5
SEN,AFR,2018,0.2,1.4,0.8
SGP,WPR,2018,1.0,3.1,2.0
SLB,WPR,2018,0.6,3.0,1.8
SLE,AFR,2018,1.6,9.9,5.7
SLV,AMR,2018,1.7,6.6,3.9
SMR,EUR,2018,0.0,0.0,0.0
SOM,EMR,2018,0.0,0.0,0.0
SRB,EUR,2018,3.9,13.9,8.8
SSD,AFR,2018,0.0,0.0,0.0
STP,AFR,2018,2.6,9.3,5.9
SUR,AMR,2018,2.2,8.5,5.3
SVK,EUR,2018,5.4,17.4,11.1
SVN,EUR,2018,5.6,18.4,11.9
SWE,EUR,2018,4.2,13.7,8.9
SWZ,AFR,2018,3.8,17.0,10.0
SYC,AFR,2018,9.5,32.0,20.5
SYR,EMR,2018,0.1,0.4,0.2
TCD,AFR,2018,0.5,2.3,1.4
TGO,AFR,2018,1.0,3.9,2.5
THA,SEAR,2018,3.5,13.4,8.3
TJK,EUR,2018,1.0,5.6,3.3
TKM,EUR,2018,1.7,8.4,4.9
TLS,SEAR,2018,0.9,3.4,2.2
TON,WPR,2018,0.3,1.3,0.8
TTO,AMR,2018,3.0,10.6,6.7
TUN,EMR,2018,0.6,3.8,2.1
TUR,EUR,2018,0.6,3.6,2.1
TUV,WPR,2018,0.5,2.5,1.5
TZA,AFR,2018,4.1,18.8,11.3
UGA,AFR,2018,5.9,24.6,15.1
UKR,EUR,2018,3.7,14.0,8.3
URY,AMR,2018,3.4,10.8,6.9
USA,AMR,2018,4.6,15.3,9.9
UZB,EUR,2018,0.8,4.5,2.6
VCT,AMR,2018,3.7,14.4,9.1
VEN,AMR,2018,1.8,6.6,4.1
VNM,WPR,2018,3.5,14.1,8.7
VUT,WPR,2018,0.8,3.7,2.3
WSM,WPR,2018,0.9,4.3,2.7
YEM,EMR,2018,0.0,0.1,0.1
ZAF,AFR,2018,3.5,15.9,9.5
ZMB,AFR,2018,2.6,10.6,6.5
ZWE,AFR,2018,1.6,8.0,4.7
