SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue
ARM,EUR,2011,1.8,2011
BLR,EUR,1995,3.3,1995
MDA,EUR,1992,2.2,1992
GBR,EUR,2003,5.6,2003
RUS,EUR,2010,1.7,2010
SWE,EUR,2014,1.9,2014
DNK,EUR,1994,2.4,1994
LBN,EMR,2005,0.1,2005
ITA,EUR,2016,1.6,2016
CAN,AMR,1993,2.2,1993
UKR,EUR,1991,2.8,1991
FIN,EUR,1998,5.6,1998
AUT,EUR,2003,1.4,2003
ROU,EUR,2012,4,2012
EST,EUR,2000,2.1,2000
SWE,EUR,1995,3.1,1995
AUT,EUR,2009,1.4,2009
BLR,EUR,2005,2.5,2005
NOR,EUR,2008,2.7,2008
ITA,EUR,1997,0.8,1997
USA,AMR,2007,0.9,2007
CAN,AMR,2005,2,2005
TKM,EUR,1991,2.6,1991
NOR,EUR,2009,2.2,2009
KGZ,EUR,1995,1.9,1995
THA,SEAR,1992,2.5,1992
CAN,AMR,2014,1.1,2014
GRC,EUR,2002,0.9,2002
SVN,EUR,2015,1,2015
FIN,EUR,2004,4.8,2004
NOR,EUR,2004,3.2,2004
ISL,EUR,1999,3.2,1999
USA,AMR,2006,1,2006
NZL,WPR,2007,2,2007
CZE,EUR,2016,1.5,2016
ZWE,AFR,1990,7,1990
HUN,EUR,2014,3.2,2014
ZAF,AFR,2009,0.4,2009
NOR,EUR,1992,4.4,1992
ARM,EUR,1993,3.4,1993
MEX,AMR,2012,1.9,2012
NOR,EUR,2014,2.2,2014
BLR,EUR,2008,2.3,2008
RUS,EUR,2012,1.7,2012
ZAF,AFR,2015,0.5,2015
ARM,EUR,1999,1.9,1999
RUS,EUR,2000,2.5,2000
EST,EUR,2001,1.9,2001
NOR,EUR,1994,4.2,1994
GBR,EUR,1994,6.2,1994
SWE,EUR,2008,2.7,2008
AZE,EUR,1995,0.9,1995
SWE,EUR,2012,1.9,2012
ROU,EUR,2010,4,2010
GBR,EUR,1995,6,1995
JPN,WPR,1993,1.2,1993
